Ticks,M1 Speed,M1 Current,VelPID Derivative
4433.000000,94.096016,255.633835,0.011674
4453.000000,94.269768,251.341324,-0.001251
4463.000000,94.257935,251.799988,-0.001119
4473.000000,94.247353,252.209869,-0.001000
4483.000000,94.332306,245.082321,0.017475
4493.000000,94.437477,243.447632,0.003937
4503.000000,94.480431,241.550659,0.004634
4513.000000,94.478470,243.486191,-0.004763
4523.000000,94.353325,251.590240,-0.019846
4533.000000,94.191399,256.819092,-0.012737
4543.000000,94.070953,261.486298,-0.011389
4553.000000,93.991859,263.389252,-0.004619
4563.000000,93.942467,265.535736,-0.005243
4573.000000,93.892883,267.457275,-0.004689
4583.000000,93.848549,269.175262,-0.004192
4593.000000,93.971985,257.767029,0.027981
4623.000000,94.114594,255.959808,0.007549
4633.000000,94.163086,255.010590,0.002296
4643.000000,94.184807,254.168930,0.002054
4653.000000,94.209946,252.962265,0.002950
4663.000000,94.249290,250.972916,0.004865
4673.000000,94.235207,253.959167,-0.007339
4683.000000,94.251625,249.835922,0.010136
4693.000000,94.287399,250.890640,-0.002626
4703.000000,94.302620,246.677933,0.004870
4723.000000,94.400162,244.893631,0.004354
4733.000000,94.441338,243.297897,0.003894
4743.000000,94.478157,241.871277,0.003481
4753.000000,94.554001,237.188736,0.011464
4763.000000,94.530800,243.434479,-0.015356
4773.000000,94.414200,246.790314,-0.008164
4783.000000,94.417099,243.423523,0.008286
4803.000000,94.565521,237.672363,0.006625
4813.000000,94.628174,235.244339,0.005925
4823.000000,94.569756,242.157150,-0.016969
4833.000000,94.503708,240.881119,0.003196
4843.000000,94.439514,247.203903,-0.015511
4853.000000,94.321442,250.617264,-0.008305
4863.000000,94.242912,256.381866,-0.006641
4883.000000,94.109886,258.815521,-0.005939
4893.000000,94.053734,260.991577,-0.005310
4903.000000,94.052155,259.077026,0.004714
4913.000000,94.085297,258.257568,0.001990
4923.000000,94.164192,252.759506,0.013469
4933.000000,94.177109,256.907867,-0.010223
4953.000000,94.169441,254.996979,0.001048
4963.000000,94.142159,257.564941,-0.006299
4973.000000,94.142670,255.104233,0.006057
4983.000000,94.165611,255.610062,-0.001264
4993.000000,94.159386,255.618668,-0.000016
5003.000000,94.139198,257.214478,-0.003912
5013.000000,94.127960,256.603973,0.001512
5033.000000,94.106300,258.141083,-0.001778
5043.000000,94.129539,255.612915,0.006204
5053.000000,94.159599,255.610535,-0.000019
5063.000000,94.219498,250.848434,0.011673
5073.000000,94.244049,253.384064,-0.006262
5083.000000,94.216309,253.180481,0.000524
5093.000000,94.255600,250.263229,0.007149
5103.000000,94.263115,252.412827,-0.005298
5113.000000,94.344627,243.907578,0.020869
5123.000000,94.404648,247.160492,-0.008057
5133.000000,94.328453,250.113464,-0.007206
5143.000000,94.200226,257.523041,-0.018134
5153.000000,94.028748,264.168060,-0.016216
5163.000000,93.875404,270.110260,-0.014500
5193.000000,94.079094,254.894760,0.020307
5203.000000,94.271133,247.453125,0.018159
5213.000000,94.442856,240.798416,0.016239
5223.000000,94.596413,234.847794,0.014521
5233.000000,94.733734,229.526215,0.012986
5243.000000,94.796448,229.536987,-0.000079
5253.000000,94.801430,229.111343,0.001044
5263.000000,94.734055,234.860580,-0.014097
5283.000000,94.481537,244.645844,-0.011272
5293.000000,94.374939,248.776550,-0.010080
5303.000000,94.279617,252.470490,-0.009014
5313.000000,94.320267,245.781540,0.016432
5323.000000,94.427025,243.620392,0.005231
5333.000000,94.404961,247.380737,-0.009238
5343.000000,94.383400,245.543015,0.004542
5353.000000,94.426353,243.878784,0.004061
5363.000000,94.464760,242.390579,0.003632
5373.000000,94.499100,241.059631,0.003248
5383.000000,94.475456,244.184235,-0.007672
5393.000000,94.422928,245.406326,-0.002965
5413.000000,94.298424,249.068573,0.004315
5423.000000,94.322060,248.850159,0.000518
5433.000000,94.326965,248.660080,0.000464
5443.000000,94.331345,248.490005,0.000415
5453.000000,94.215103,257.876312,-0.023009
5463.000000,94.020409,264.491333,-0.016122
5473.000000,93.779251,277.439301,-0.031673
5483.000000,93.599899,279.508087,-0.004944
5493.000000,93.630402,275.188263,0.010609
5503.000000,93.616280,280.384308,-0.012779
5513.000000,93.418182,284.316498,0.016977
